Title,FirstClassificationId,FirstClassificationLabel,FirstClassificationName,FirstClassificationScore,SecondClassificationId,SecondClassificationLabel,SecondClassificationName,SecondClassificationScore,ThirdClassificationId,ThirdClassificationLabel,ThirdClassificationName,ThirdClassificationScore,RequestId
一季度全国平均招聘月薪10101元,112,social,社会,0.15271274745464325,11204,social_community,社会_社区新闻,0.14713694155216217,,,,,87b2d033-e93c-491e-a114-58943517401f
千万不要侧躺玩手机,139,other,其他,0.1468837708234787,0,,UNKNOWN,0,,,,,fc6b4721-b1f4-4842-9eec-d4e5dd2f5601
一次复制粘贴一行兵哥哥是什么体验,139,other,其他,0.120652936398983,0,,UNKNOWN,0,,,,,90a4dacc-8185-458f-8e43-98e3133154e9
路人看见张译的表情,104,ent,娱乐,0.15254510939121246,10402,ent_domestic,娱乐_内地明星,0.29590916633605957,10402006,ent_domestic_other,娱乐_内地明星_明星其他,0.29590916633605957,43ce38b8-0e35-4aa7-b970-17dcf4cc64d3
湖人vs公牛,139,other,其他,0.1146773248910904,0,,UNKNOWN,0,,,,,47ed395a-ae9d-4153-aa2e-162acf6cfb4b
谁在阻止孙国友种树,139,other,其他,0.13890479505062103,0,,UNKNOWN,0,,,,,e08a3a0f-087d-4867-9eca-6c6ccbab3e71
谢娜瘦二十斤综艺回归首秀,104,ent,娱乐,0.2834257185459137,10402,ent_domestic,娱乐_内地明星,0.25594672560691833,10402001,ent_domestic_news,娱乐_内地明星_明星资讯,0.25594672560691833,5e8664e6-494f-49df-8415-2f99aed156a2
郑晓龙点赞人世间风吹半夏狂飙,139,other,其他,0.10895148664712906,0,,UNKNOWN,0,,,,,ec8b4691-5453-401b-be4d-b5f42ec9271a
坦克500试驾翻车,100,funny,搞笑,0.19519518315792084,10001,funny_duanzi,搞笑_段子,0.0024265721440315247,,,,,9c85344c-23c6-4098-ae9d-c405e3a45680
周深白鹿自带音量,139,other,其他,0.12588472664356232,0,,UNKNOWN,0,,,,,40f745aa-e603-4398-b92f-ba5afed46586
成都火灾,112,social,社会,0.3574588894844055,11207,social_accidentdisaster,社会_事故灾害,0.613348126411438,11207003,social_accidentdisaster_public,社会_事故灾害_公共安全事故,0.613348126411438,d1c7348d-4eac-45e3-bad9-81e8f0638f6f
WBG教练,139,other,其他,0.11410703510046005,0,,UNKNOWN,0,,,,,b84cb4a1-4298-42d1-ae35-516b3c5897c0
工人师傅带电钻上火车被拦,100,funny,搞笑,0.36313629150390625,10001,funny_duanzi,搞笑_段子,0.040510691702365875,,,,,774be1e4-405c-47da-9cc4-1b380db30c15
杨幂微博之夜七年造型,104,ent,娱乐,0.2035897672176361,10402,ent_domestic,娱乐_内地明星,0.33735689520835876,10402006,ent_domestic_other,娱乐_内地明星_明星其他,0.33735689520835876,31016741-67d8-4aab-a7ef-016bcd578b04
张艺兴说今年会举办巡演,104,ent,娱乐,0.29183369874954224,10402,ent_domestic,娱乐_内地明星,0.3409026861190796,10402001,ent_domestic_news,娱乐_内地明星_明星资讯,0.3409026861190796,4c01ec89-d295-48ef-8303-6230997b2f4c
真的有人一点社交都没有吗,139,other,其他,0.0971934124827385,0,,UNKNOWN,0,,,,,209e5e5a-deec-4b70-a584-86f687fe31f9
第五人格,139,other,其他,0.08853080123662949,0,,UNKNOWN,0,,,,,345c8f0e-4a98-49d4-9e34-d7d5cf1d2275
孙国友女儿称事情没有解决,139,other,其他,0.1114608645439148,0,,UNKNOWN,0,,,,,70a529f7-740a-4600-9c3d-d46bb38273e4
张兰谈俏江南被资本血洗,139,other,其他,0.10230458527803421,0,,UNKNOWN,0,,,,,20298c81-ec7f-4c77-a974-d42535890be2
沙溢他超爱,139,other,其他,0.12034378945827484,0,,UNKNOWN,0,,,,,e5ae89dc-aff6-498b-9e05-1e77b1e6e242
长佩,139,other,其他,0.09221691638231277,0,,UNKNOWN,0,,,,,1d5cb361-da33-4539-ad09-d34ca2f54a24
陈冰乘风破浪初舞台或将唱盛夏光年,104,ent,娱乐,0.22310547530651093,10402,ent_domestic,娱乐_内地明星,0.41273173689842224,10402001,ent_domestic_news,娱乐_内地明星_明星资讯,0.41273173689842224,368cdaa2-1f75-4eb1-b23f-b563ec1bae45
为什么洗澡时总想小便,139,other,其他,0.14275696873664856,0,,UNKNOWN,0,,,,,6c3ad5c0-41f1-4616-a560-829a1844b094
沙特内阁批准加入上海合作组织的决定,112,social,社会,0.16986213624477386,11204,social_community,社会_社区新闻,0.1863173097372055,,,,,41eac688-1ca3-420f-a394-e01ad40496c9
你觉得毕业生起薪多少合适,139,other,其他,0.10680945962667465,0,,UNKNOWN,0,,,,,1942fa6f-5bef-404b-a701-2d76a51b94bc
周雨彤 职场女性,104,ent,娱乐,0.17674589157104492,10402,ent_domestic,娱乐_内地明星,0.3938358724117279,10402006,ent_domestic_other,娱乐_内地明星_明星其他,0.3938358724117279,bc035bf9-6b9c-4b73-9e37-2519d07822e8
全网都在等丫丫平安回家,139,other,其他,0.1216789186000824,0,,UNKNOWN,0,,,,,cffc7771-3767-4dac-b16d-74721158026f
宁夏人怎么看林场主跪地求供水,112,social,社会,0.3267485499382019,11204,social_community,社会_社区新闻,0.7603787779808044,,,,,354bf755-e041-4ebf-a6f6-07463b7963c2
上班暂停一下 我去读幼儿园,139,other,其他,0.13805067539215088,0,,UNKNOWN,0,,,,,d4d4cd09-5fdd-4087-b855-aeee81c70b58
乘风破浪,139,other,其他,0.10096263140439987,0,,UNKNOWN,0,,,,,0e79ab53-1430-4b99-8fd6-d2aca79e6f2f
王者荣耀,139,other,其他,0.11651508510112762,0,,UNKNOWN,0,,,,,29e4adb9-019f-4abd-b898-0cc59d50ee84
丫丫,139,other,其他,0.08764640986919403,0,,UNKNOWN,0,,,,,1d3dfd89-75a1-4512-a0eb-b7d9e8bd715e
男子求复合在女生公司外跪一夜,100,funny,搞笑,0.2675914168357849,10001,funny_duanzi,搞笑_段子,0.0396479032933712,,,,,5911a2ee-2a97-439f-82b5-dc52e69fbb32
为什么一到换季就鼻炎,139,other,其他,0.1438794583082199,0,,UNKNOWN,0,,,,,15ad5d68-d165-41f6-bf69-12e786d92259
孙国友称种树以来没有任何经济收入,139,other,其他,0.1290607452392578,0,,UNKNOWN,0,,,,,e904187c-13dc-4139-a457-41570e47cbeb
肖战欧洲街头vlog,139,other,其他,0.13225522637367249,0,,UNKNOWN,0,,,,,d789bd90-e7c1-4e93-bd08-362dd231ec70
张大大问关晓彤到底听到了什么,104,ent,娱乐,0.20702697336673737,10402,ent_domestic,娱乐_内地明星,0.3106013536453247,10402006,ent_domestic_other,娱乐_内地明星_明星其他,0.3106013536453247,ced51a3b-a465-4d84-bd69-b62ca524a26e
吴镇宇想见到费曼的办法,139,other,其他,0.11126471310853958,0,,UNKNOWN,0,,,,,8d26bc22-a712-49b3-8624-c039fc015664
吴磊也需要别人演他小时候了,104,ent,娱乐,0.24763847887516022,10402,ent_domestic,娱乐_内地明星,0.3919724225997925,10402006,ent_domestic_other,娱乐_内地明星_明星其他,0.3919724225997925,aaa0542e-f38e-418d-af98-c4be75957bb2
路晨归晓大婚,139,other,其他,0.12786035239696503,0,,UNKNOWN,0,,,,,bd593cd1-37fc-4b40-8197-818c81dbdf33
孟贺回应麻六记欠款事项,112,social,社会,0.15704870223999023,11204,social_community,社会_社区新闻,0.3658860921859741,,,,,27eca805-440e-4451-9460-8a02c04e4d33
